Date:  22:56; «·≈À‰Ì‰; œÌ”„»— 20; 2021
Model name: Assem1
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ;Value (Celsius)  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Components
10038  ;55.6  ;0.00000000  ;-0.00000000  ;-75.00000000  ;pin fin-4
12700  ;55.3  ;10.86956215  ;-0.00000000  ;-75.00000000  ;pin fin-4
10039  ;55.1  ;21.73913002  ;-0.00000000  ;-75.00000000  ;pin fin-4
12694  ;54.4  ;32.60868835  ;-0.00000000  ;-75.00000000  ;pin fin-4
10040  ;53.8  ;43.47826004  ;-0.00000000  ;-75.00000000  ;pin fin-4
12688  ;53.2  ;54.34781265  ;-0.00000000  ;-75.00000000  ;pin fin-4
10041  ;52.6  ;65.21739197  ;-0.00000000  ;-75.00000000  ;pin fin-4
12679  ;52.1  ;76.08693695  ;-0.00000000  ;-75.00000000  ;pin fin-4
10042  ;51.5  ;86.95652008  ;-0.00000000  ;-75.00000000  ;pin fin-4
12672  ;51  ;97.82606506  ;-0.00000000  ;-75.00000000  ;pin fin-4
10043  ;50.4  ;108.69564819  ;-0.00000000  ;-75.00000000  ;pin fin-4
12664  ;49.9  ;119.56518555  ;-0.00000000  ;-75.00000000  ;pin fin-4
10044  ;49.4  ;130.43478394  ;-0.00000000  ;-75.00000000  ;pin fin-4
12655  ;48.9  ;141.30436707  ;-0.00000000  ;-75.00000000  ;pin fin-4
10045  ;48.5  ;152.17390442  ;-0.00000000  ;-75.00000000  ;pin fin-4
12645  ;48  ;163.04350281  ;-0.00000000  ;-75.00000000  ;pin fin-4
10046  ;47.6  ;173.91304016  ;-0.00000000  ;-75.00000000  ;pin fin-4
12637  ;47.1  ;184.78262329  ;-0.00000000  ;-75.00000000  ;pin fin-4
10047  ;46.7  ;195.65217590  ;-0.00000000  ;-75.00000000  ;pin fin-4
12630  ;46.3  ;206.52174377  ;-0.00000000  ;-75.00000000  ;pin fin-4
10048  ;45.9  ;217.39129639  ;-0.00000000  ;-75.00000000  ;pin fin-4
12622  ;45.5  ;228.26087952  ;-0.00000000  ;-75.00000000  ;pin fin-4
10049  ;45.1  ;239.13043213  ;-0.00000000  ;-75.00000000  ;pin fin-4
12615  ;44.7  ;250.00000000  ;-0.00000000  ;-75.00000000  ;pin fin-4
10050  ;44.4  ;260.86956787  ;-0.00000000  ;-75.00000000  ;pin fin-4
12607  ;44  ;271.73913574  ;-0.00000000  ;-75.00000000  ;pin fin-4
10051  ;43.7  ;282.60867310  ;-0.00000000  ;-75.00000000  ;pin fin-4
12598  ;43.4  ;293.47824097  ;-0.00000000  ;-75.00000000  ;pin fin-4
10052  ;43  ;304.34780884  ;-0.00000000  ;-75.00000000  ;pin fin-4
12592  ;42.7  ;315.21737671  ;-0.00000000  ;-75.00000000  ;pin fin-4
10053  ;42.4  ;326.08697510  ;-0.00000000  ;-75.00000000  ;pin fin-4
12584  ;42.1  ;336.95651245  ;-0.00000000  ;-75.00000000  ;pin fin-4
10054  ;41.8  ;347.82608032  ;-0.00000000  ;-75.00000000  ;pin fin-4
12576  ;41.5  ;358.69561768  ;-0.00000000  ;-75.00000000  ;pin fin-4
10055  ;41.3  ;369.56521606  ;-0.00000000  ;-75.00000000  ;pin fin-4
12567  ;41  ;380.43481445  ;-0.00000000  ;-75.00000000  ;pin fin-4
10056  ;40.7  ;391.30435181  ;-0.00000000  ;-75.00000000  ;pin fin-4
12559  ;40.5  ;402.17395020  ;-0.00000000  ;-75.00000000  ;pin fin-4
10057  ;40.3  ;413.04345703  ;-0.00000000  ;-75.00000000  ;pin fin-4
12553  ;40  ;423.91305542  ;-0.00000000  ;-75.00000000  ;pin fin-4
10058  ;39.8  ;434.78259277  ;-0.00000000  ;-75.00000000  ;pin fin-4
12543  ;39.6  ;445.65219116  ;-0.00000000  ;-75.00000000  ;pin fin-4
10059  ;39.3  ;456.52175903  ;-0.00000000  ;-75.00000000  ;pin fin-4
12534  ;39.1  ;467.39132690  ;-0.00000000  ;-75.00000000  ;pin fin-4
10060  ;38.9  ;478.26086426  ;-0.00000000  ;-75.00000000  ;pin fin-4
12527  ;38.7  ;489.13043213  ;-0.00000000  ;-75.00000000  ;pin fin-4
10061  ;38.5  ;500.00000000  ;-0.00000000  ;-75.00000000  ;pin fin-4
12521  ;38.4  ;510.86956787  ;-0.00000000  ;-75.00000000  ;pin fin-4
10062  ;38.2  ;521.73913574  ;-0.00000000  ;-75.00000000  ;pin fin-4
12513  ;38  ;532.60870361  ;-0.00000000  ;-75.00000000  ;pin fin-4
10063  ;37.8  ;543.47827148  ;-0.00000000  ;-75.00000000  ;pin fin-4
12507  ;37.7  ;554.34783936  ;-0.00000000  ;-75.00000000  ;pin fin-4
10064  ;37.5  ;565.21734619  ;-0.00000000  ;-75.00000000  ;pin fin-4
12498  ;37.4  ;576.08697510  ;-0.00000000  ;-75.00000000  ;pin fin-4
10065  ;37.2  ;586.95648193  ;-0.00000000  ;-75.00000000  ;pin fin-4
12490  ;37.1  ;597.82611084  ;-0.00000000  ;-75.00000000  ;pin fin-4
10066  ;36.9  ;608.69561768  ;-0.00000000  ;-75.00000000  ;pin fin-4
12482  ;36.8  ;619.56524658  ;-0.00000000  ;-75.00000000  ;pin fin-4
10067  ;36.7  ;630.43481445  ;-0.00000000  ;-75.00000000  ;pin fin-4
12476  ;36.5  ;641.30438232  ;-0.00000000  ;-75.00000000  ;pin fin-4
10068  ;36.4  ;652.17395020  ;-0.00000000  ;-75.00000000  ;pin fin-4
12469  ;36.3  ;663.04351807  ;-0.00000000  ;-75.00000000  ;pin fin-4
10069  ;36.2  ;673.91308594  ;-0.00000000  ;-75.00000000  ;pin fin-4
12461  ;36.1  ;684.78265381  ;-0.00000000  ;-75.00000000  ;pin fin-4
10070  ;36  ;695.65216064  ;-0.00000000  ;-75.00000000  ;pin fin-4
12454  ;35.9  ;706.52172852  ;-0.00000000  ;-75.00000000  ;pin fin-4
10071  ;35.8  ;717.39129639  ;-0.00000000  ;-75.00000000  ;pin fin-4
12446  ;35.7  ;728.26086426  ;-0.00000000  ;-75.00000000  ;pin fin-4
10072  ;35.6  ;739.13043213  ;-0.00000000  ;-75.00000000  ;pin fin-4
12437  ;35.5  ;750.00000000  ;-0.00000000  ;-75.00000000  ;pin fin-4
10073  ;35.4  ;760.86956787  ;-0.00000000  ;-75.00000000  ;pin fin-4
12428  ;35.4  ;771.73913574  ;-0.00000000  ;-75.00000000  ;pin fin-4
10074  ;35.3  ;782.60870361  ;-0.00000000  ;-75.00000000  ;pin fin-4
12420  ;35.2  ;793.47827148  ;-0.00000000  ;-75.00000000  ;pin fin-4
10075  ;35.2  ;804.34783936  ;-0.00000000  ;-75.00000000  ;pin fin-4
12413  ;35.1  ;815.21734619  ;-0.00000000  ;-75.00000000  ;pin fin-4
10076  ;35  ;826.08691406  ;-0.00000000  ;-75.00000000  ;pin fin-4
12405  ;35  ;836.95648193  ;-0.00000000  ;-75.00000000  ;pin fin-4
10077  ;34.9  ;847.82604980  ;-0.00000000  ;-75.00000000  ;pin fin-4
12397  ;34.9  ;858.69561768  ;-0.00000000  ;-75.00000000  ;pin fin-4
10078  ;34.8  ;869.56518555  ;-0.00000000  ;-75.00000000  ;pin fin-4
12390  ;34.8  ;880.43475342  ;-0.00000000  ;-75.00000000  ;pin fin-4
10079  ;34.8  ;891.30438232  ;-0.00000000  ;-75.00000000  ;pin fin-4
12381  ;34.7  ;902.17395020  ;-0.00000000  ;-75.00000000  ;pin fin-4
10080  ;34.7  ;913.04351807  ;-0.00000000  ;-75.00000000  ;pin fin-4
12373  ;34.7  ;923.91308594  ;-0.00000000  ;-75.00000000  ;pin fin-4
10081  ;34.7  ;934.78265381  ;-0.00000000  ;-75.00000000  ;pin fin-4
12364  ;34.6  ;945.65216064  ;-0.00000000  ;-75.00000000  ;pin fin-4
10082  ;34.6  ;956.52172852  ;-0.00000000  ;-75.00000000  ;pin fin-4
12356  ;34.6  ;967.39129639  ;-0.00000000  ;-75.00000000  ;pin fin-4
10083  ;34.6  ;978.26086426  ;-0.00000000  ;-75.00000000  ;pin fin-4
13093  ;34.6  ;989.13043213  ;-0.00000000  ;-75.00000000  ;pin fin-4
9988  ;34.6  ;1000.00000000  ;-0.00000000  ;-75.00000000  ;pin fin-4
