Date:  22:52; «·≈À‰Ì‰; œÌ”„»— 20; 2021
Model name: Assem1
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ;Value (Celsius)  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Components
1325  ;59.1  ;0.00000000  ;-0.00000000  ;225.00000000  ;pin fin-1
3778  ;58.7  ;10.86956215  ;-0.00000000  ;225.00000000  ;pin fin-1
1326  ;58.3  ;21.73913002  ;-0.00000000  ;225.00000000  ;pin fin-1
3772  ;57.1  ;32.60868835  ;-0.00000000  ;225.00000000  ;pin fin-1
1327  ;56  ;43.47826004  ;-0.00000000  ;225.00000000  ;pin fin-1
3763  ;55  ;54.34781265  ;-0.00000000  ;225.00000000  ;pin fin-1
1328  ;54.1  ;65.21739197  ;-0.00000000  ;225.00000000  ;pin fin-1
3754  ;53.2  ;76.08693695  ;-0.00000000  ;225.00000000  ;pin fin-1
1329  ;52.3  ;86.95652008  ;-0.00000000  ;225.00000000  ;pin fin-1
3746  ;51.5  ;97.82606506  ;-0.00000000  ;225.00000000  ;pin fin-1
1330  ;50.7  ;108.69564819  ;-0.00000000  ;225.00000000  ;pin fin-1
3738  ;49.9  ;119.56518555  ;-0.00000000  ;225.00000000  ;pin fin-1
1331  ;49.2  ;130.43478394  ;-0.00000000  ;225.00000000  ;pin fin-1
3730  ;48.5  ;141.30436707  ;-0.00000000  ;225.00000000  ;pin fin-1
1332  ;47.8  ;152.17390442  ;-0.00000000  ;225.00000000  ;pin fin-1
3723  ;47.2  ;163.04350281  ;-0.00000000  ;225.00000000  ;pin fin-1
1333  ;46.5  ;173.91304016  ;-0.00000000  ;225.00000000  ;pin fin-1
3715  ;45.9  ;184.78262329  ;-0.00000000  ;225.00000000  ;pin fin-1
1334  ;45.3  ;195.65217590  ;-0.00000000  ;225.00000000  ;pin fin-1
3707  ;44.8  ;206.52174377  ;-0.00000000  ;225.00000000  ;pin fin-1
1335  ;44.2  ;217.39129639  ;-0.00000000  ;225.00000000  ;pin fin-1
3698  ;43.7  ;228.26087952  ;-0.00000000  ;225.00000000  ;pin fin-1
1336  ;43.2  ;239.13043213  ;-0.00000000  ;225.00000000  ;pin fin-1
3690  ;42.7  ;250.00000000  ;-0.00000000  ;225.00000000  ;pin fin-1
1337  ;42.2  ;260.86956787  ;-0.00000000  ;225.00000000  ;pin fin-1
3681  ;41.8  ;271.73913574  ;-0.00000000  ;225.00000000  ;pin fin-1
1338  ;41.3  ;282.60867310  ;-0.00000000  ;225.00000000  ;pin fin-1
3673  ;40.9  ;293.47824097  ;-0.00000000  ;225.00000000  ;pin fin-1
1339  ;40.5  ;304.34780884  ;-0.00000000  ;225.00000000  ;pin fin-1
3666  ;40.1  ;315.21737671  ;-0.00000000  ;225.00000000  ;pin fin-1
1340  ;39.8  ;326.08697510  ;-0.00000000  ;225.00000000  ;pin fin-1
3659  ;39.4  ;336.95651245  ;-0.00000000  ;225.00000000  ;pin fin-1
1341  ;39.1  ;347.82608032  ;-0.00000000  ;225.00000000  ;pin fin-1
3652  ;38.7  ;358.69561768  ;-0.00000000  ;225.00000000  ;pin fin-1
1342  ;38.4  ;369.56521606  ;-0.00000000  ;225.00000000  ;pin fin-1
3644  ;38.1  ;380.43481445  ;-0.00000000  ;225.00000000  ;pin fin-1
1343  ;37.8  ;391.30435181  ;-0.00000000  ;225.00000000  ;pin fin-1
3636  ;37.5  ;402.17395020  ;-0.00000000  ;225.00000000  ;pin fin-1
1344  ;37.2  ;413.04345703  ;-0.00000000  ;225.00000000  ;pin fin-1
3630  ;37  ;423.91305542  ;-0.00000000  ;225.00000000  ;pin fin-1
1345  ;36.7  ;434.78259277  ;-0.00000000  ;225.00000000  ;pin fin-1
3623  ;36.5  ;445.65219116  ;-0.00000000  ;225.00000000  ;pin fin-1
1346  ;36.3  ;456.52175903  ;-0.00000000  ;225.00000000  ;pin fin-1
3616  ;36  ;467.39132690  ;-0.00000000  ;225.00000000  ;pin fin-1
1347  ;35.8  ;478.26086426  ;-0.00000000  ;225.00000000  ;pin fin-1
3609  ;35.6  ;489.13043213  ;-0.00000000  ;225.00000000  ;pin fin-1
1348  ;35.4  ;500.00000000  ;-0.00000000  ;225.00000000  ;pin fin-1
3602  ;35.2  ;510.86956787  ;-0.00000000  ;225.00000000  ;pin fin-1
1349  ;35  ;521.73913574  ;-0.00000000  ;225.00000000  ;pin fin-1
3595  ;34.9  ;532.60870361  ;-0.00000000  ;225.00000000  ;pin fin-1
1350  ;34.7  ;543.47827148  ;-0.00000000  ;225.00000000  ;pin fin-1
3587  ;34.5  ;554.34783936  ;-0.00000000  ;225.00000000  ;pin fin-1
1351  ;34.4  ;565.21734619  ;-0.00000000  ;225.00000000  ;pin fin-1
3579  ;34.2  ;576.08697510  ;-0.00000000  ;225.00000000  ;pin fin-1
1352  ;34.1  ;586.95648193  ;-0.00000000  ;225.00000000  ;pin fin-1
3570  ;33.9  ;597.82611084  ;-0.00000000  ;225.00000000  ;pin fin-1
1353  ;33.8  ;608.69561768  ;-0.00000000  ;225.00000000  ;pin fin-1
3561  ;33.7  ;619.56524658  ;-0.00000000  ;225.00000000  ;pin fin-1
1354  ;33.5  ;630.43481445  ;-0.00000000  ;225.00000000  ;pin fin-1
3552  ;33.4  ;641.30438232  ;-0.00000000  ;225.00000000  ;pin fin-1
1355  ;33.3  ;652.17395020  ;-0.00000000  ;225.00000000  ;pin fin-1
3543  ;33.2  ;663.04351807  ;-0.00000000  ;225.00000000  ;pin fin-1
1356  ;33.1  ;673.91308594  ;-0.00000000  ;225.00000000  ;pin fin-1
3534  ;33  ;684.78265381  ;-0.00000000  ;225.00000000  ;pin fin-1
1357  ;32.9  ;695.65216064  ;-0.00000000  ;225.00000000  ;pin fin-1
3525  ;32.8  ;706.52172852  ;-0.00000000  ;225.00000000  ;pin fin-1
1358  ;32.7  ;717.39129639  ;-0.00000000  ;225.00000000  ;pin fin-1
3516  ;32.7  ;728.26086426  ;-0.00000000  ;225.00000000  ;pin fin-1
1359  ;32.6  ;739.13043213  ;-0.00000000  ;225.00000000  ;pin fin-1
3507  ;32.5  ;750.00000000  ;-0.00000000  ;225.00000000  ;pin fin-1
1360  ;32.4  ;760.86956787  ;-0.00000000  ;225.00000000  ;pin fin-1
3498  ;32.4  ;771.73913574  ;-0.00000000  ;225.00000000  ;pin fin-1
1361  ;32.3  ;782.60870361  ;-0.00000000  ;225.00000000  ;pin fin-1
3489  ;32.3  ;793.47827148  ;-0.00000000  ;225.00000000  ;pin fin-1
1362  ;32.2  ;804.34783936  ;-0.00000000  ;225.00000000  ;pin fin-1
3481  ;32.2  ;815.21734619  ;-0.00000000  ;225.00000000  ;pin fin-1
1363  ;32.1  ;826.08691406  ;-0.00000000  ;225.00000000  ;pin fin-1
3474  ;32.1  ;836.95648193  ;-0.00000000  ;225.00000000  ;pin fin-1
1364  ;32  ;847.82604980  ;-0.00000000  ;225.00000000  ;pin fin-1
3467  ;32  ;858.69561768  ;-0.00000000  ;225.00000000  ;pin fin-1
1365  ;31.9  ;869.56518555  ;-0.00000000  ;225.00000000  ;pin fin-1
3459  ;31.9  ;880.43475342  ;-0.00000000  ;225.00000000  ;pin fin-1
1366  ;31.9  ;891.30438232  ;-0.00000000  ;225.00000000  ;pin fin-1
